full_name,rank_division,ag_rank,nation,age_group
Name,Rank,Rank,,Nat
"Cruz, Tanguy",1,1,FRA,Nat
"Algret, Pierre",2,1,FRA,Nat
"盛, 志康",3,2,CHN,Nat
"王, 忍",4,3,CHN,Nat
"Gough, Mark",5,1,IRL,Nat
"Tieu, Johnny",6,1,USA,Nat
"Smerin, Richard",7,2,GBR,Nat
"Smith, Alex",8,4,USA,Nat
"潘, 鸿洁",9,2,CHN,Nat
"郭, 凌琨",10,3,CHN,Nat
"nam, kitae",11,5,KOR,Nat
"Dong, Joo bong",12,6,KOR,Nat
"Corry, Daniel",13,4,GBR,Nat
"郭, 晨光",14,2,CHN,Nat
"Wong, Wong Ting",15,3,CHN,Nat
"Lin, Han",16,5,NED,Nat
"Slattery, Peter",17,1,IRL,Nat
"Kuo, Sihao",18,6,NED,Nat
"Li, Adrian",19,7,HKG,Nat
"Hardie, Callum",20,4,NZL,Nat
"Poliakov, Pavel",21,8,HYROX,Nat
"赵, 龙龙",22,9,CHN,Nat
"郭, 嘉",23,7,BEL,Nat
"马, 里",24,10,CHN,Nat
"徐, 康康",25,5,CHN,Nat
"Farney, Zach",26,11,USA,Nat
"Sun, Joseph",27,8,USA,Nat
"Brosius, Joshua",28,9,,Nat
"李, 聪",29,12,CHN,Nat
"Ong, Shi-Ern Zachary Bryan",30,2,SIN,Nat
"LYIMO, ABEL THOMAS",31,13,TAN,Nat
"贾, 潞斌",32,6,CHN,Nat
"Savolainen, Ari-Pekka",33,10,FIN,Nat
"侯, 杰",34,3,CHN,Nat
"Entwistle, Dan",35,11,GBR,Nat
"Baroche, Vincent",36,14,FRA,Nat
"lampard, Dan",37,1,GBR,Nat
"戴, 学峰",38,7,CHN,Nat
"TIMUR, JANZAKOV",39,8,KAZ,Nat
"江, 鹏",40,15,CHN,Nat
"王, 离",41,16,CHN,Nat
"Smorczewski, Oskar",42,9,POL,Nat
"盘, 业进",43,3,CHN,Nat
"闫, 钰祺",44,10,CHN,Nat
"张, 叶",45,12,CHN,Nat
"周, 华龙",46,4,CHN,Nat
"STAAL, EWEN",47,13,NED,Nat
"Park, Hangyul",48,17,KOR,Nat
"潘, 益慧",49,4,CHN,Nat
"岑, 恒安",50,14,CHN,Nat
"陈, 锋",51,15,CHN,Nat
"王, 则中",52,11,CHN,Nat
"包, 新宇",53,18,CHN,Nat
"Enkhtugs, Sukhbaatar",54,12,MGL,Nat
"叶, 云",55,16,CHN,Nat
"郝, 增毅",56,5,CHN,Nat
"孙, 克臣",57,6,CHN,Nat
"Wong, Wai Yuin",58,13,SIN,Nat
"傅, 一昕",59,14,CHN,Nat
"曹, 芝烨",60,19,CHN,Nat
"PALMER, SAMUEL ROBERT",61,7,GBR,Nat
"Adkinson, George",62,5,PHI,Nat
"徐, 王钦",63,15,CHN,Nat
"程, 让",64,16,CHN,Nat
"侯, 捷",65,17,CHN,Nat
"Abdulla, Khamraliev",66,18,UZB,Nat
"柳, 漪良",67,20,CHN,Nat
"李, 烨天",68,21,CHN,Nat
"赵, 坤",69,6,CHN,Nat
"孙, 亚运",70,22,CHN,Nat
"Anderson, Daniel",71,2,GBR,Nat
"Pincott, Jamie",72,17,GBR,Nat
"Vasilev, Lev",73,19,HYROX,Nat
"刘, 彤",74,23,CHN,Nat
"DAVIS, JOSE MATTHEW",75,24,RSA,Nat
"de Vries, Bryan",76,25,NED,Nat
"韩, 朋飞",77,18,CHN,Nat
"A, Akhmedov",78,19,TJK,Nat
"林, 健敏",79,26,CHN,Nat
"丁, 闻捷",80,20,CHN,Nat
"韦, 家锋",81,21,CHN,Nat
"黄, 凤翔",82,27,CHN,Nat
"Kim, Geonwoo",83,22,KOR,Nat
"徐, 慧",84,8,CHN,Nat
"刘, 林烽",85,23,CHN,Nat
"Ang, Samuel Wai Kit",86,28,SIN,Nat
"Ong, Gabriel",87,24,SIN,Nat
"张, 昆鹏",88,20,CHN,Nat
"李, 泽",89,29,CHN,Nat
"王, 鑫",90,30,CHN,Nat
", Rakotoarisoa",91,21,MAD,Nat
"柏, 志伟",92,31,CHN,Nat
"Zallar, Derek",93,32,USA,Nat
"FLOMO, JOHN L",94,25,LBR,Nat
"俞, 亮鑫",95,22,CHN,Nat
"李, 逢时",96,33,CHN,Nat
"谢, 奕炜",97,9,CHN,Nat
"陶, 君屹",98,26,CHN,Nat
"张, 豪",99,23,CHN,Nat
"潘, 经纬",100,24,CHN,Nat
"潘, 鵾",101,10,CHN,Nat
